Name,Patners 1,Skills ,Skills 2,Skills 3,Skills 4,Skills 5,Skills 6,Skills 7,Skills 8,Skills 9,Skills 10,Skills 11,Skills 12,Skills 13,Skills 14,Skills 15,Skills 16,Skills 17,Skills 18,Skills 19,Url,Job category,Difficulty,Duration,skill_list,skill_list_clean
"Git, Docker & CI/CD: DevOps Foundations for Data Engineers",Coursera,Ansible,Infrastructure as Code (IaC),Configuration Management,Correlation Analysis,CI/CD,Docker (Software),GitHub,Data Strategy,Collaborative Software,Git (Version Control System),Containerization,Cloud Infrastructure,Data Security,Data Pipelines,Version Control,Continuous Deployment,Continuous Integration,Devops Tools,Kubernetes,https://www.coursera.org/specializations/git-docker-cicd-devops-foundations-data-engineers,DevOps Engineer,INTERMEDIATE,THREE_TO_SIX_MONTHS,"['ansible', 'infrastructure as code (iac)', 'configuration management', 'correlation analysis', 'ci/cd', 'docker (software)', 'github', 'data strategy', 'collaborative software', 'git (version control system)', 'containerization', 'cloud infrastructure', 'data security', 'data pipelines', 'version control', 'continuous deployment', 'continuous integration', 'devops tools', 'kubernetes']","['ansible', 'infrastructure as code (iac)', 'configuration management', 'correlation analysis', 'ci/cd', 'docker (software)', 'github', 'data strategy', 'collaborative software', 'git (version control system)', 'containerization', 'cloud infrastructure', 'data security', 'data pipelines', 'version control', 'continuous deployment', 'continuous integration', 'devops tools', 'kubernetes']"
"Spark, Hadoop, and Snowflake for Data Engineering",Duke University,PySpark,Snowflake Schema,Databricks,Data Pipelines,Apache Spark,MLOps (Machine Learning Operations),Apache Hadoop,Data Architecture,Big Data,Data Warehousing,Data Quality,Data Integration,Data Processing,DevOps,Model Training,Model Deployment,Distributed Computing,Data Transformation,SQL,https://www.coursera.org/learn/spark-hadoop-snowflake-data-engineering,Data Engineer,ADVANCED,ONE_TO_FOUR_WEEKS,"['pyspark', 'snowflake schema', 'databricks', 'data pipelines', 'apache spark', 'mlops (machine learning operations)', 'apache hadoop', 'data architecture', 'big data', 'data warehousing', 'data quality', 'data integration', 'data processing', 'devops', 'model training', 'model deployment', 'distributed computing', 'data transformation', 'sql']","['pyspark', 'snowflake schema', 'databricks', 'data pipelines', 'apache spark', 'mlops (machine learning operations)', 'apache hadoop', 'data architecture', 'big data', 'data warehousing', 'data quality', 'data integration', 'data processing', 'devops', 'model training', 'model deployment', 'distributed computing', 'data transformation', 'sql']"
AI Game Development Essentials with Unity 6,Packt,Unity Engine,Agentic systems,Game Design,Video Game Development,Artificial Intelligence,Software Visualization,Simulations,System Design and Implementation,Software Design Patterns,Scripting,,,,,,,,,,https://www.coursera.org/specializations/packt-ai-game-development-essentials-with-unity-6,AI Engineer,INTERMEDIATE,THREE_TO_SIX_MONTHS,"['unity engine', 'agentic systems', 'game design', 'video game development', 'artificial intelligence', 'software visualization', 'simulations', 'system design and implementation', 'software design patterns', 'scripting']","['unity engine', 'agentic systems', 'game design', 'video game development', 'artificial intelligence', 'software visualization', 'simulations', 'system design and implementation', 'software design patterns', 'scripting']"
Unity Game Creation Bootcamp - Unity 6 Compatible,Packt,3D Assets,Unity Engine,Video Game Development,Animation and Game Design,Computer Graphics,Computer Graphic Techniques,Virtual Environment,Game Design,Post-Production,Animations,User Interface (UI),Application Deployment,UI Components,User Interface (UI) Design,Software Installation,Artificial Intelligence,Interaction Design,UI/UX Strategy,Programming Principles,https://www.coursera.org/specializations/packt-unity-game-creation-bootcamp-unity-6-compatible,Game Developer,INTERMEDIATE,ONE_TO_THREE_MONTHS,"['3d assets', 'unity engine', 'video game development', 'animation and game design', 'computer graphics', 'computer graphic techniques', 'virtual environment', 'game design', 'post-production', 'animations', 'user interface (ui)', 'application deployment', 'ui components', 'user interface (ui) design', 'software installation', 'artificial intelligence', 'interaction design', 'ui/ux strategy', 'programming principles']","['3d assets', 'unity engine', 'video game development', 'animation and game design', 'computer graphics', 'computer graphic techniques', 'virtual environment', 'game design', 'post-production', 'animations', 'user interface (ui)', 'application deployment', 'ui components', 'user interface (ui) design', 'software installation', 'artificial intelligence', 'interaction design', 'ui/ux strategy', 'programming principles']"
"Unity Advanced Game Development, Physics & GUI",EDUCBA,Unity Engine,UI Components,Scripting,User Interface (UI),Torque (Physics),Responsive Web Design,User Interface (UI) Design,Object Oriented Programming (OOP),C# (Programming Language),Game Design,Animation and Game Design,Object Oriented Design,Animations,Interactive Design,Event-Driven Programming,Video Game Development,User Interface and User Experience (UI/UX) Design,Mechanics,Simulation and Simulation Software,https://www.coursera.org/specializations/unity-advanced-game-development-physics-gui,Game Developer,BEGINNER,ONE_TO_THREE_MONTHS,"['unity engine', 'ui components', 'scripting', 'user interface (ui)', 'torque (physics)', 'responsive web design', 'user interface (ui) design', 'object oriented programming (oop)', 'c# (programming language)', 'game design', 'animation and game design', 'object oriented design', 'animations', 'interactive design', 'event-driven programming', 'video game development', 'user interface and user experience (ui/ux) design', 'mechanics', 'simulation and simulation software']","['unity engine', 'ui components', 'scripting', 'user interface (ui)', 'torque (physics)', 'responsive web design', 'user interface (ui) design', 'object oriented programming (oop)', 'c# (programming language)', 'game design', 'animation and game design', 'object oriented design', 'animations', 'interactive design', 'event-driven programming', 'video game development', 'user interface and user experience (ui/ux) design', 'mechanics', 'simulation and simulation software']"
"Advanced Supplier Quality, Risk, and Process Improvement",Coursera,Supplier Risk Management,Supplier Management,Supplier Performance Management,Vendor Contracts,Supplier Relationship Management,Supplier Quality Management,Risk Mitigation,Risk Analysis,Root Cause Analysis,Contract Management,Vendor Relationship Management,Contract Compliance,Contract Review,Corrective and Preventive Action (CAPA),Continuous Quality Improvement (CQI),Continuous Improvement Process,Risk Management,Procurement,Variance Analysis,https://www.coursera.org/learn/advanced-supplier-quality-risk-and-process-improvement,Risk & Compliance Analyst,INTERMEDIATE,ONE_TO_THREE_MONTHS,"['supplier risk management', 'supplier management', 'supplier performance management', 'vendor contracts', 'supplier relationship management', 'supplier quality management', 'risk mitigation', 'risk analysis', 'root cause analysis', 'contract management', 'vendor relationship management', 'contract compliance', 'contract review', 'corrective and preventive action (capa)', 'continuous quality improvement (cqi)', 'continuous improvement process', 'risk management', 'procurement', 'variance analysis']","['supplier risk management', 'supplier management', 'supplier performance management', 'vendor contracts', 'supplier relationship management', 'supplier quality management', 'risk mitigation', 'risk analysis', 'root cause analysis', 'contract management', 'vendor relationship management', 'contract compliance', 'contract review', 'corrective and preventive action (capa)', 'continuous quality improvement (cqi)', 'continuous improvement process', 'risk management', 'procurement', 'variance analysis']"
Python Developer: From Basics to Case Studies,EDUCBA,Cryptography,Object Oriented Design,Object Oriented Programming (OOP),File I/O,Encryption,Cryptographic Protocols,Data Structures,Program Development,Software Development,Model Evaluation,Automation,Model Training,Machine Learning Algorithms,Database Application,Plot (Graphics),Python Programming,Algorithms,Software Installation,Code Reusability,https://www.coursera.org/specializations/python-developer-basics-to-case-studies,General IT Specialist,BEGINNER,THREE_TO_SIX_MONTHS,"['cryptography', 'object oriented design', 'object oriented programming (oop)', 'file i/o', 'encryption', 'cryptographic protocols', 'data structures', 'program development', 'software development', 'model evaluation', 'automation', 'model training', 'machine learning algorithms', 'database application', 'plot (graphics)', 'python programming', 'algorithms', 'software installation', 'code reusability']","['cryptography', 'object oriented design', 'object oriented programming (oop)', 'file i/o', 'encryption', 'cryptographic protocols', 'data structures', 'program development', 'software development', 'model evaluation', 'automation', 'model training', 'machine learning algorithms', 'database application', 'plot (graphics)', 'python programming', 'algorithms', 'software installation', 'code reusability']"
Protect Privacy & Compliance,Coursera,General Data Protection Regulation (GDPR),Regulatory Compliance,Information Privacy,Personally Identifiable Information,Regulation and Legal Compliance,Compliance Auditing,Analytical Skills,Gap Analysis,Prioritization,,,,,,,,,,,https://www.coursera.org/learn/protect-privacy--compliance,Risk & Compliance Analyst,INTERMEDIATE,ONE_TO_FOUR_WEEKS,"['general data protection regulation (gdpr)', 'regulatory compliance', 'information privacy', 'personally identifiable information', 'regulation and legal compliance', 'compliance auditing', 'analytical skills', 'gap analysis', 'prioritization']","['general data protection regulation (gdpr)', 'regulatory compliance', 'information privacy', 'personally identifiable information', 'regulation and legal compliance', 'compliance auditing', 'analytical skills', 'gap analysis', 'prioritization']"
Advanced Excel Financial Modeling Risk Analysis & Auditing,Coursera,Variance Analysis,Budget Management,Financial Analysis,Cost Control,Financial Auditing,Financial Modeling,Financial Data,Auditing,Risk Modeling,Financial Statement Analysis,Financial Forecasting,Financial Statements,Excel Formulas,Financial Reporting,Forecasting,Balance Sheet,Financial Controls,Risk Analysis,Simulation and Simulation Software,https://www.coursera.org/learn/advanced-excel-financial-modeling-risk-analysis-and-auditing,Data Analyst,ADVANCED,ONE_TO_THREE_MONTHS,"['variance analysis', 'budget management', 'financial analysis', 'cost control', 'financial auditing', 'financial modeling', 'financial data', 'auditing', 'risk modeling', 'financial statement analysis', 'financial forecasting', 'financial statements', 'excel formulas', 'financial reporting', 'forecasting', 'balance sheet', 'financial controls', 'risk analysis', 'simulation and simulation software']","['variance analysis', 'budget management', 'financial analysis', 'cost control', 'financial auditing', 'financial modeling', 'financial data', 'auditing', 'risk modeling', 'financial statement analysis', 'financial forecasting', 'financial statements', 'excel formulas', 'financial reporting', 'forecasting', 'balance sheet', 'financial controls', 'risk analysis', 'simulation and simulation software']"
Unreal Engine 5 - Blueprints Game Developer Masterclass,Packt,Unreal Engine,User Interface and User Experience (UI/UX) Design,UI Components,User Interface (UI) Design,Video Game Development,Game Design,Computer Graphics,Code Reusability,No-Code Development,Virtual Environment,Scripting,Event-Driven Programming,Computational Logic,Data Structures,,,,,,https://www.coursera.org/learn/packt-unreal-engine-5-blueprints-game-developer-masterclass-n9d56,Game Developer,BEGINNER,THREE_TO_SIX_MONTHS,"['unreal engine', 'user interface and user experience (ui/ux) design', 'ui components', 'user interface (ui) design', 'video game development', 'game design', 'computer graphics', 'code reusability', 'no-code development', 'virtual environment', 'scripting', 'event-driven programming', 'computational logic', 'data structures']","['unreal engine', 'user interface and user experience (ui/ux) design', 'ui components', 'user interface (ui) design', 'video game development', 'game design', 'computer graphics', 'code reusability', 'no-code development', 'virtual environment', 'scripting', 'event-driven programming', 'computational logic', 'data structures']"
CompTIA Cybersecurity Analyst (CySA+) CS0-003,Pearson,Computer Security Incident Management,Vulnerability Assessments,Cyber Operations,Cyber Threat Intelligence,Cybersecurity,Cyber Attacks,Cyber Security Strategy,IT Security Architecture,MITRE ATT&CK Framework,Cyber Threat Hunting,Threat Detection,Cyber Security Assessment,Network Security,Application Security,DevSecOps,Malware Protection,Security Management,Cloud Security,Encryption,https://www.coursera.org/specializations/pearson-comptia-cybersecurity-analyst-cysa-cs0-003,General IT Specialist,INTERMEDIATE,ONE_TO_THREE_MONTHS,"['computer security incident management', 'vulnerability assessments', 'cyber operations', 'cyber threat intelligence', 'cybersecurity', 'cyber attacks', 'cyber security strategy', 'it security architecture', 'mitre att&ck framework', 'cyber threat hunting', 'threat detection', 'cyber security assessment', 'network security', 'application security', 'devsecops', 'malware protection', 'security management', 'cloud security', 'encryption']","['computer security incident management', 'vulnerability assessments', 'cyber operations', 'cyber threat intelligence', 'cybersecurity', 'cyber attacks', 'cyber security strategy', 'it security architecture', 'mitre att&ck framework', 'cyber threat hunting', 'threat detection', 'cyber security assessment', 'network security', 'application security', 'devsecops', 'malware protection', 'security management', 'cloud security', 'encryption']"
"Analysis, Budgeting, and Risk Management",Coursera,Risk Modeling,Risk Management Framework,Financial Modeling,Budgeting,Risk Analysis,Capital Budgeting,Risk Management,Portfolio Risk,Financial Analysis,Capital Expenditure,Portfolio Management,Key Performance Indicators (KPIs),Operating Budget,Investments,Asset Management,Return On Investment,Smart Goals,Financial Forecasting,Performance Measurement,https://www.coursera.org/learn/analysis-budgeting-and-risk-management,Risk & Compliance Analyst,INTERMEDIATE,THREE_TO_SIX_MONTHS,"['risk modeling', 'risk management framework', 'financial modeling', 'budgeting', 'risk analysis', 'capital budgeting', 'risk management', 'portfolio risk', 'financial analysis', 'capital expenditure', 'portfolio management', 'key performance indicators (kpis)', 'operating budget', 'investments', 'asset management', 'return on investment', 'smart goals', 'financial forecasting', 'performance measurement']","['risk modeling', 'risk management framework', 'financial modeling', 'budgeting', 'risk analysis', 'capital budgeting', 'risk management', 'portfolio risk', 'financial analysis', 'capital expenditure', 'portfolio management', 'key performance indicators (kpis)', 'operating budget', 'investments', 'asset management', 'return on investment', 'smart goals', 'financial forecasting', 'performance measurement']"
Unity Android  Build Eight Mobile Games with Unity and C#,Packt,Game Design,Android Development,Unity Engine,Video Game Development,Mobile Development,Animation and Game Design,User Interface (UI) Design,User Interface (UI),UI Components,Debugging,C# (Programming Language),Development Testing,Scripting,Android (Operating System),Development Environment,Animations,Event-Driven Programming,Software Installation,,https://www.coursera.org/specializations/packt-unity-android-build-eight-mobile-games-with-unity-and-csharp,Mobile Developer,INTERMEDIATE,THREE_TO_SIX_MONTHS,"['game design', 'android development', 'unity engine', 'video game development', 'mobile development', 'animation and game design', 'user interface (ui) design', 'user interface (ui)', 'ui components', 'debugging', 'c# (programming language)', 'development testing', 'scripting', 'android (operating system)', 'development environment', 'animations', 'event-driven programming', 'software installation']","['game design', 'android development', 'unity engine', 'video game development', 'mobile development', 'animation and game design', 'user interface (ui) design', 'user interface (ui)', 'ui components', 'debugging', 'c# (programming language)', 'development testing', 'scripting', 'android (operating system)', 'development environment', 'animations', 'event-driven programming', 'software installation']"
Regulatory Compliance,University of Pennsylvania,Compliance Training,Compliance Management,Regulatory Compliance,Health Insurance Portability And Accountability Act (HIPAA) Compliance,General Data Protection Regulation (GDPR),Medical Privacy,"Law, Regulation, and Compliance",Legal Risk,Information Privacy,Governance Risk Management and Compliance,Personally Identifiable Information,Regulatory Requirements,Regulation and Legal Compliance,Internal Communications,Procedure Development,Data Security,Continuous Monitoring,Health Information Management,Risk Management,https://www.coursera.org/specializations/regulatory-compliance,Risk & Compliance Analyst,INTERMEDIATE,THREE_TO_SIX_MONTHS,"['compliance training', 'compliance management', 'regulatory compliance', 'health insurance portability and accountability act (hipaa) compliance', 'general data protection regulation (gdpr)', 'medical privacy', 'law, regulation, and compliance', 'legal risk', 'information privacy', 'governance risk management and compliance', 'personally identifiable information', 'regulatory requirements', 'regulation and legal compliance', 'internal communications', 'procedure development', 'data security', 'continuous monitoring', 'health information management', 'risk management']","['compliance training', 'compliance management', 'regulatory compliance', 'health insurance portability and accountability act (hipaa) compliance', 'general data protection regulation (gdpr)', 'medical privacy', 'law, regulation, and compliance', 'legal risk', 'information privacy', 'governance risk management and compliance', 'personally identifiable information', 'regulatory requirements', 'regulation and legal compliance', 'internal communications', 'procedure development', 'data security', 'continuous monitoring', 'health information management', 'risk management']"
Analyze & Evaluate Banking Risk Management Frameworks,EDUCBA,Bank Regulations,Banking,Credit Risk,Risk Management Framework,Operational Risk,Risk Management,Lending and Underwriting,Compliance Management,Financial Regulation,Regulatory Compliance,Risk Control,Risk Appetite,Risk Analysis,Governance,Governance Risk Management and Compliance,Business Risk Management,Portfolio Risk,Internal Controls,Risk Mitigation,https://www.coursera.org/learn/analyze-evaluate-banking-risk-management-frameworks,Risk & Compliance Analyst,MIXED,ONE_TO_THREE_MONTHS,"['bank regulations', 'banking', 'credit risk', 'risk management framework', 'operational risk', 'risk management', 'lending and underwriting', 'compliance management', 'financial regulation', 'regulatory compliance', 'risk control', 'risk appetite', 'risk analysis', 'governance', 'governance risk management and compliance', 'business risk management', 'portfolio risk', 'internal controls', 'risk mitigation']","['bank regulations', 'banking', 'credit risk', 'risk management framework', 'operational risk', 'risk management', 'lending and underwriting', 'compliance management', 'financial regulation', 'regulatory compliance', 'risk control', 'risk appetite', 'risk analysis', 'governance', 'governance risk management and compliance', 'business risk management', 'portfolio risk', 'internal controls', 'risk mitigation']"
GenAI Data Engineering and RAG Systems,Starweaver,Retrieval-Augmented Generation,Vector Databases,AI Personalization,Data Engineering,Context Engineering,AI Orchestration,System Monitoring,Generative AI,Data Processing,AI Workflows,"Extract, Transform, Load",Scalability,Large Language Modeling,Data Architecture,Data Pipelines,Embeddings,Continuous Monitoring,Talent Pipelining,Process Optimization,https://www.coursera.org/learn/genai-data-engineering-and-rag-systems,General IT Specialist,INTERMEDIATE,ONE_TO_FOUR_WEEKS,"['retrieval-augmented generation', 'vector databases', 'ai personalization', 'data engineering', 'context engineering', 'ai orchestration', 'system monitoring', 'generative ai', 'data processing', 'ai workflows', 'extract, transform, load', 'scalability', 'large language modeling', 'data architecture', 'data pipelines', 'embeddings', 'continuous monitoring', 'talent pipelining', 'process optimization']","['retrieval-augmented generation', 'vector databases', 'ai personalization', 'data engineering', 'context engineering', 'ai orchestration', 'system monitoring', 'generative ai', 'data processing', 'ai workflows', 'extract, transform, load', 'scalability', 'large language modeling', 'data architecture', 'data pipelines', 'embeddings', 'continuous monitoring', 'talent pipelining', 'process optimization']"
Procurement & Sourcing Operations,Coursera,Request for Proposal,Request For Quotation (RFQ),Strategic Sourcing,Document Management,Supplier Management,Purchasing,Procurement,Business Writing,Cost Benefit Analysis,Vendor Management,Business Communication,Market Research,Cost Management,Risk Analysis,Spreadsheet Software,Workflow Management,Financial Analysis,Data-Driven Decision-Making,Contract Compliance,https://www.coursera.org/specializations/procurement-sourcing-operations,Operations Specialist,INTERMEDIATE,THREE_TO_SIX_MONTHS,"['request for proposal', 'request for quotation (rfq)', 'strategic sourcing', 'document management', 'supplier management', 'purchasing', 'procurement', 'business writing', 'cost benefit analysis', 'vendor management', 'business communication', 'market research', 'cost management', 'risk analysis', 'spreadsheet software', 'workflow management', 'financial analysis', 'data-driven decision-making', 'contract compliance']","['request for proposal', 'request for quotation (rfq)', 'strategic sourcing', 'document management', 'supplier management', 'purchasing', 'procurement', 'business writing', 'cost benefit analysis', 'vendor management', 'business communication', 'market research', 'cost management', 'risk analysis', 'spreadsheet software', 'workflow management', 'financial analysis', 'data-driven decision-making', 'contract compliance']"
Information? ?Systems,University of Minnesota,Enterprise Resource Planning,Business Systems Analysis,Systems Analysis,Requirements Analysis,Cybersecurity,Business Requirements,Business Analysis,Business Systems,Cyber Attacks,Business Analysis Tools,Cloud Computing,Cyber Security Strategy,Cloud Services,IT Management,Change Management,Business Software,Technology Strategies,Information Technology,Project Management,https://www.coursera.org/specializations/information-systems,General IT Specialist,BEGINNER,THREE_TO_SIX_MONTHS,"['enterprise resource planning', 'business systems analysis', 'systems analysis', 'requirements analysis', 'cybersecurity', 'business requirements', 'business analysis', 'business systems', 'cyber attacks', 'business analysis tools', 'cloud computing', 'cyber security strategy', 'cloud services', 'it management', 'change management', 'business software', 'technology strategies', 'information technology', 'project management']","['enterprise resource planning', 'business systems analysis', 'systems analysis', 'requirements analysis', 'cybersecurity', 'business requirements', 'business analysis', 'business systems', 'cyber attacks', 'business analysis tools', 'cloud computing', 'cyber security strategy', 'cloud services', 'it management', 'change management', 'business software', 'technology strategies', 'information technology', 'project management']"
Operaciones de ventas de Salesforce,Salesforce,Sales Pipelines,Sales Process,Customer Relationship Management,Salesforce,Customer Success Management,Sales Development,Customer Relationship Management (CRM) Software,Sales Support,Sales Operations,Sales Management,Campaign Management,Lead Generation,Data Visualization,Closing (Sales),Sales Enablement,Inside Sales,Service Management,Order Management,Prospecting and Qualification,https://www.coursera.org/professional-certificates/salesforce-sales-operations-es,General IT Specialist,BEGINNER,THREE_TO_SIX_MONTHS,"['sales pipelines', 'sales process', 'customer relationship management', 'salesforce', 'customer success management', 'sales development', 'customer relationship management (crm) software', 'sales support', 'sales operations', 'sales management', 'campaign management', 'lead generation', 'data visualization', 'closing (sales)', 'sales enablement', 'inside sales', 'service management', 'order management', 'prospecting and qualification']","['sales pipelines', 'sales process', 'customer relationship management', 'salesforce', 'customer success management', 'sales development', 'customer relationship management (crm) software', 'sales support', 'sales operations', 'sales management', 'campaign management', 'lead generation', 'data visualization', 'closing (sales)', 'sales enablement', 'inside sales', 'service management', 'order management', 'prospecting and qualification']"
Jira Workflow Automation & Optimization,Coursera,Prompt Engineering,Jira (Software),Workflow Management,Report Writing,Scrum (Software Development),Sprint Retrospectives,Backlogs,Due Diligence,Dashboard,Return On Investment,Sprint Planning,Business Process Automation,Agile Methodology,Automation,Process Improvement,No-Code Development,Debugging,Configuration Management,Data-Driven Decision-Making,https://www.coursera.org/specializations/jira-workflow-automation-optimization,General IT Specialist,INTERMEDIATE,THREE_TO_SIX_MONTHS,"['prompt engineering', 'jira (software)', 'workflow management', 'report writing', 'scrum (software development)', 'sprint retrospectives', 'backlogs', 'due diligence', 'dashboard', 'return on investment', 'sprint planning', 'business process automation', 'agile methodology', 'automation', 'process improvement', 'no-code development', 'debugging', 'configuration management', 'data-driven decision-making']","['prompt engineering', 'jira (software)', 'workflow management', 'report writing', 'scrum (software development)', 'sprint retrospectives', 'backlogs', 'due diligence', 'dashboard', 'return on investment', 'sprint planning', 'business process automation', 'agile methodology', 'automation', 'process improvement', 'no-code development', 'debugging', 'configuration management', 'data-driven decision-making']"
AI-Powered Business Operations,Starweaver,Business Process Modeling,Process Modeling,Data Storytelling,Responsible AI,AI Product Strategy,Digital Transformation,Business Process Management,Business Process Improvement,Process Design,Sales Presentation,Data Presentation,Google Gemini,ChatGPT,Generative AI,Sustainable Development,Social Impact,Customer Relationship Management (CRM) Software,Innovation,Environmental Social And Corporate Governance (ESG),https://www.coursera.org/specializations/ai-powered-business-operations,AI Engineer,INTERMEDIATE,ONE_TO_THREE_MONTHS,"['business process modeling', 'process modeling', 'data storytelling', 'responsible ai', 'ai product strategy', 'digital transformation', 'business process management', 'business process improvement', 'process design', 'sales presentation', 'data presentation', 'google gemini', 'chatgpt', 'generative ai', 'sustainable development', 'social impact', 'customer relationship management (crm) software', 'innovation', 'environmental social and corporate governance (esg)']","['business process modeling', 'process modeling', 'data storytelling', 'responsible ai', 'ai product strategy', 'digital transformation', 'business process management', 'business process improvement', 'process design', 'sales presentation', 'data presentation', 'google gemini', 'chatgpt', 'generative ai', 'sustainable development', 'social impact', 'customer relationship management (crm) software', 'innovation', 'environmental social and corporate governance (esg)']"
"Master DevOps: CI/CD, Automation & Monitoring",Edureka,Infrastructure as Code (IaC),AWS CloudFormation,CI/CD,Git (Version Control System),Jenkins,Ansible,Devops Tools,Version Control,Terraform,Docker (Software),Kubernetes,DevOps,Prometheus (Software),Cloud-Native Computing,Continuous Deployment,Containerization,Continuous Integration,Amazon Web Services,Grafana,https://www.coursera.org/specializations/master-devops-ci-cd-automation-monitoring,DevOps Engineer,BEGINNER,THREE_TO_SIX_MONTHS,"['infrastructure as code (iac)', 'aws cloudformation', 'ci/cd', 'git (version control system)', 'jenkins', 'ansible', 'devops tools', 'version control', 'terraform', 'docker (software)', 'kubernetes', 'devops', 'prometheus (software)', 'cloud-native computing', 'continuous deployment', 'containerization', 'continuous integration', 'amazon web services', 'grafana']","['infrastructure as code (iac)', 'aws cloudformation', 'ci/cd', 'git (version control system)', 'jenkins', 'ansible', 'devops tools', 'version control', 'terraform', 'docker (software)', 'kubernetes', 'devops', 'prometheus (software)', 'cloud-native computing', 'continuous deployment', 'containerization', 'continuous integration', 'amazon web services', 'grafana']"
Advanced Project Operations & Automation,Coursera,Earned Value Management,Workflow Management,Business Process Automation,Change Management,Project Management,Project Controls,Performance Measurement,Automation,Predictive Modeling,AI Enablement,Strategic Communication,Data-Driven Decision-Making,Risk Analysis,Process Improvement and Optimization,Process Optimization,Analytics,Cloud-Based Integration,Generative AI,Systems Integration,https://www.coursera.org/specializations/advanced-project-operations-automation,Operations Specialist,ADVANCED,THREE_TO_SIX_MONTHS,"['earned value management', 'workflow management', 'business process automation', 'change management', 'project management', 'project controls', 'performance measurement', 'automation', 'predictive modeling', 'ai enablement', 'strategic communication', 'data-driven decision-making', 'risk analysis', 'process improvement and optimization', 'process optimization', 'analytics', 'cloud-based integration', 'generative ai', 'systems integration']","['earned value management', 'workflow management', 'business process automation', 'change management', 'project management', 'project controls', 'performance measurement', 'automation', 'predictive modeling', 'ai enablement', 'strategic communication', 'data-driven decision-making', 'risk analysis', 'process improvement and optimization', 'process optimization', 'analytics', 'cloud-based integration', 'generative ai', 'systems integration']"
Analyze Investment Banking Operations & Markets,EDUCBA,Risk Mitigation,Risk Management Framework,Financial Regulations,Risk Analysis,Investment Management,Banking,Financial Trading,Financial Regulation,Capital Markets,Securities (Finance),Financial Services,Bank Regulations,Securities Trading,Financial Systems,Operational Analysis,Lending and Underwriting,Market Analysis,Market Dynamics,Cash Management,https://www.coursera.org/specializations/investment-banking-operations-markets,Operations Specialist,BEGINNER,THREE_TO_SIX_MONTHS,"['risk mitigation', 'risk management framework', 'financial regulations', 'risk analysis', 'investment management', 'banking', 'financial trading', 'financial regulation', 'capital markets', 'securities (finance)', 'financial services', 'bank regulations', 'securities trading', 'financial systems', 'operational analysis', 'lending and underwriting', 'market analysis', 'market dynamics', 'cash management']","['risk mitigation', 'risk management framework', 'financial regulations', 'risk analysis', 'investment management', 'banking', 'financial trading', 'financial regulation', 'capital markets', 'securities (finance)', 'financial services', 'bank regulations', 'securities trading', 'financial systems', 'operational analysis', 'lending and underwriting', 'market analysis', 'market dynamics', 'cash management']"
Accounting Operations & Automation,Coursera,Cash Flow Forecasting,Variance Analysis,Bookkeeping,Reconciliation,QuickBooks (Accounting Software),Invoicing,Cash Flows,Financial Analysis,Auditing,Process Optimization,Document Management,Microsoft Excel,Data Transformation,Financial Reporting,Compliance Reporting,Compliance Management,AI Enablement,Automation,Data Validation,https://www.coursera.org/specializations/accounting-operations-automation,Operations Specialist,INTERMEDIATE,THREE_TO_SIX_MONTHS,"['cash flow forecasting', 'variance analysis', 'bookkeeping', 'reconciliation', 'quickbooks (accounting software)', 'invoicing', 'cash flows', 'financial analysis', 'auditing', 'process optimization', 'document management', 'microsoft excel', 'data transformation', 'financial reporting', 'compliance reporting', 'compliance management', 'ai enablement', 'automation', 'data validation']","['cash flow forecasting', 'variance analysis', 'bookkeeping', 'reconciliation', 'quickbooks (accounting software)', 'invoicing', 'cash flows', 'financial analysis', 'auditing', 'process optimization', 'document management', 'microsoft excel', 'data transformation', 'financial reporting', 'compliance reporting', 'compliance management', 'ai enablement', 'automation', 'data validation']"
TOTAL CompTIA A+ Core 1 (220-1201) v15,Packt,Peripheral Devices,Network Troubleshooting,Desktop Support,Computer Displays,USB,Wireless Networks,Virtualization and Virtual Machines,Network Administration,Display Devices,Virtual Machines,General Networking,TCP/IP,Virtualization,Computing Platforms,Network Support,Virtual Local Area Network (VLAN),Hardware Architecture,Data Storage,Computer Systems,https://www.coursera.org/specializations/packt-total-comptia-a-plus-core-1,General IT Specialist,BEGINNER,THREE_TO_SIX_MONTHS,"['peripheral devices', 'network troubleshooting', 'desktop support', 'computer displays', 'usb', 'wireless networks', 'virtualization and virtual machines', 'network administration', 'display devices', 'virtual machines', 'general networking', 'tcp/ip', 'virtualization', 'computing platforms', 'network support', 'virtual local area network (vlan)', 'hardware architecture', 'data storage', 'computer systems']","['peripheral devices', 'network troubleshooting', 'desktop support', 'computer displays', 'usb', 'wireless networks', 'virtualization and virtual machines', 'network administration', 'display devices', 'virtual machines', 'general networking', 'tcp/ip', 'virtualization', 'computing platforms', 'network support', 'virtual local area network (vlan)', 'hardware architecture', 'data storage', 'computer systems']"
